occ_code,decile,share,source_tag,mu,sigma,n_points,fit_level
49-9063,8,0.04226807402872712,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,9,0.016529526864960564,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9063,10,0.00247157165215639,partial:OEWS_May2021_lognormal;D,10.529515725035246,0.3455299379005284,5,own
49-9064,1,0.08801840811816836,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,2,0.12465412614337257,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,3,0.13324851010674676,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,4,0.13260015756834503,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,5,0.12645651751783038,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,6,0.11620913181374082,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,7,0.10233283085648603,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,8,0.08466976649578772,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,9,0.062133711560879656,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9064,10,0.029676839818642664,partial:OEWS_May2021_lognormal;D,10.63820320767962,0.4574221726916965,5,own
49-9069,1,0.0013813982098618283,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,2,0.013629360655753375,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,3,0.04247338059130046,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,4,0.08503327337091815,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,5,0.13339243948807833,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,6,0.17593812863299846,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,7,0.19846979814263382,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,8,0.18607381228407593,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,9,0.12790612346957908,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9069,10,0.03570228515480056,partial:OEWS_May2021_lognormal;D,10.943796632085158,0.30889500980202284,5,own
49-9071,1,0.018032794026237642,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,2,0.08395306384875806,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,3,0.14791347330347854,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,4,0.1841929833994287,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,5,0.1874892970531346,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,6,0.16226179601471613,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,7,0.11833790591816551,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,8,0.06841239131819188,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,9,0.02609712484711202,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9071,10,0.003309170270776929,partial:OEWS_May2021_lognormal;D,10.66466149304049,0.30788157893195545,5,own
49-9081,1,3.2122225963049367e-6,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,2,0.000507743314626885,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,3,0.0077019280726742245,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,4,0.04197625068810468,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,5,0.12441297524984346,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,6,0.23473699314657231,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,7,0.29158052895862785,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,8,0.22012834211303667,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,9,0.07480242560351436,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
49-9081,10,0.004149600630403261,partial:OEWS_May2021_lognormal;D,10.953909518963306,0.20714599455178676,5,own
