occ_code,fips,emp,source_tag
11-3013,39,6031,real:OEWS_May2025_state; renormalized to national
11-3013,40,1040,real:OEWS_May2025_state; renormalized to national
11-3013,41,1830,real:OEWS_May2025_state; renormalized to national
11-3013,42,6871,real:OEWS_May2025_state; renormalized to national
11-3013,44,470,real:OEWS_May2025_state; renormalized to national
11-3013,45,1750,real:OEWS_May2025_state; renormalized to national
11-3013,46,370,real:OEWS_May2025_state; renormalized to national
11-3013,47,2580,real:OEWS_May2025_state; renormalized to national
11-3013,48,13141,real:OEWS_May2025_state; renormalized to national
11-3013,49,1770,real:OEWS_May2025_state; renormalized to national
11-3013,50,500,real:OEWS_May2025_state; renormalized to national
11-3013,51,2950,real:OEWS_May2025_state; renormalized to national
11-3013,53,2790,real:OEWS_May2025_state; renormalized to national
11-3013,54,610,real:OEWS_May2025_state; renormalized to national
11-3013,55,2010,real:OEWS_May2025_state; renormalized to national
11-3013,56,190,real:OEWS_May2025_state; renormalized to national
11-3021,01,7670,real:OEWS_May2025_state; renormalized to national
11-3021,02,970,real:OEWS_May2025_state; renormalized to national
